index,street,x,y,direction,order,roadType
200,Hoàng Quốc Việt,21.04611,105.80127888279836,-1,201,đường chính
201,Hoàng Quốc Việt,21.04610587604904,105.8013747437058,-1,202,đường chính
202,Hoàng Quốc Việt,21.046100000000003,105.80147043829795,-1,203,đường chính
203,Hoàng Quốc Việt,21.046100000000003,105.80156669064914,-1,204,đường chính
204,Hoàng Quốc Việt,21.046100000000003,105.80166294300032,-1,205,đường chính
205,Hoàng Quốc Việt,21.046100000000003,105.8017591953515,-1,206,đường chính
206,Hoàng Quốc Việt,21.046100000000003,105.80185544770266,-1,207,đường chính
207,Hoàng Quốc Việt,21.046100000000003,105.80195170005383,-1,208,đường chính
208,Hoàng Quốc Việt,21.046100000000003,105.80204795240502,-1,209,đường chính
209,Hoàng Quốc Việt,21.046100000000003,105.8021442047562,-1,210,đường chính
210,Hoàng Quốc Việt,21.046100000000003,105.80224045710736,-1,211,đường chính
211,Hoàng Quốc Việt,21.046100000000003,105.80233670945856,-1,212,đường chính
212,Hoàng Quốc Việt,21.046100000000003,105.80243296180971,-1,213,đường chính
213,Hoàng Quốc Việt,21.04610098000256,105.80252920010228,-1,214,đường chính
214,Hoàng Quốc Việt,21.046103385448653,105.80262541794608,-1,215,đường chính
215,Hoàng Quốc Việt,21.04610579089475,105.80272163578992,-1,216,đường chính
216,Hoàng Quốc Việt,21.04610819634085,105.80281785363375,-1,217,đường chính
217,Hoàng Quốc Việt,21.046110601786943,105.80291407147756,-1,218,đường chính
218,Hoàng Quốc Việt,21.04611300723304,105.8030102893214,-1,219,đường chính
219,Hoàng Quốc Việt,21.04611541267913,105.80310650716524,-1,220,đường chính
220,Hoàng Quốc Việt,21.04611781812523,105.80320272500906,-1,221,đường chính
221,Hoàng Quốc Việt,21.046119748113,105.80329894198869,-1,222,đường chính
222,Hoàng Quốc Việt,21.04611703801312,105.8033951505343,-1,223,đường chính
223,Hoàng Quốc Việt,21.046114327913244,105.80349135907991,-1,224,đường chính
224,Hoàng Quốc Việt,21.046111617813366,105.80358756762554,-1,225,đường chính
225,Hoàng Quốc Việt,21.04610890771349,105.80368377617116,-1,226,đường chính
226,Hoàng Quốc Việt,21.04610619761361,105.8037799847168,-1,227,đường chính
227,Hoàng Quốc Việt,21.046103487513736,105.8038761932624,-1,228,đường chính
228,Hoàng Quốc Việt,21.046100777413866,105.80397240180804,-1,229,đường chính
229,Hoàng Quốc Việt,21.046100000000003,105.80406864159325,-1,230,đường chính
230,Hoàng Quốc Việt,21.046100000000003,105.80416489394442,-1,231,đường chính
231,Hoàng Quốc Việt,21.046100000000003,105.8042611462956,-1,232,đường chính
232,Hoàng Quốc Việt,21.046100000000003,105.80435739864676,-1,233,đường chính
233,Hoàng Quốc Việt,21.046100000000003,105.80445365099794,-1,234,đường chính
234,Hoàng Quốc Việt,21.046100000000003,105.80454990334913,-1,235,đường chính
235,Hoàng Quốc Việt,21.046100000000003,105.8046461557003,-1,236,đường chính
236,Hoàng Quốc Việt,21.046100000000003,105.80474240805148,-1,237,đường chính
237,Hoàng Quốc Việt,21.046100000000003,105.80483866040264,-1,238,đường chính
238,Hoàng Quốc Việt,21.046100000000003,105.80493491275382,-1,239,đường chính
239,Hoàng Quốc Việt,21.04610557048979,105.80495376840224,-1,240,đường chính
240,Hoàng Quốc Việt,21.046333999696483,105.8052153598521,1,1,đường chính
241,Hoàng Quốc Việt,21.046333870542146,105.80512397182696,1,2,đường chính
242,Hoàng Quốc Việt,21.04632774108429,105.80502794365393,1,3,đường chính
243,Hoàng Quốc Việt,21.04632161162644,105.80493191548088,1,4,đường chính
244,Hoàng Quốc Việt,21.046315482168588,105.80483588730786,1,5,đường chính
245,Hoàng Quốc Việt,21.046309465872177,105.80473985157133,1,6,đường chính
246,Hoàng Quốc Việt,21.046304407988224,105.80464375177624,1,7,đường chính
247,Hoàng Quốc Việt,21.0463,105.8045476323624,1,8,đường chính
248,Hoàng Quốc Việt,21.0463,105.80445137988194,1,9,đường chính
249,Hoàng Quốc Việt,21.0463,105.80435512740148,1,10,đường chính
250,Hoàng Quốc Việt,21.0463,105.80425887492105,1,11,đường chính
251,Hoàng Quốc Việt,21.0463,105.80416262244056,1,12,đường chính
252,Hoàng Quốc Việt,21.0463,105.80406636996013,1,13,đường chính
253,Hoàng Quốc Việt,21.0463,105.80397011747964,1,14,đường chính
254,Hoàng Quốc Việt,21.0463,105.8038738649992,1,15,đường chính
255,Hoàng Quốc Việt,21.0463,105.80377761251872,1,16,đường chính
256,Hoàng Quốc Việt,21.04629879600289,105.80368137216465,1,17,đường chính
257,Hoàng Quốc Việt,21.046297107661207,105.80358513668877,1,18,đường chính
258,Hoàng Quốc Việt,21.046295419319527,105.80348890121287,1,19,đường chính
259,Hoàng Quốc Việt,21.046293730977844,105.80339266573702,1,20,đường chính
260,Hoàng Quốc Việt,21.046292042636164,105.80329643026114,1,21,đường chính
261,Hoàng Quốc Việt,21.04629035429448,105.80320019478526,1,22,đường chính
262,Hoàng Quốc Việt,21.046292054655524,105.80310397774576,1,23,đường chính
263,Hoàng Quốc Việt,21.04629465498372,105.80300776560256,1,24,đường chính
264,Hoàng Quốc Việt,21.046297255311917,105.80291155345935,1,25,đường chính
265,Hoàng Quốc Việt,21.046299855640104,105.80281534131618,1,26,đường chính
266,Hoàng Quốc Việt,21.046304905775045,105.80271924316172,1,27,đường chính
267,Hoàng Quốc Việt,21.046310099907707,105.80262315170744,1,28,đường chính
268,Hoàng Quốc Việt,21.04631529404037,105.80252706025315,1,29,đường chính
269,Hoàng Quốc Việt,21.04632,105.80243095366352,1,30,đường chính
270,Hoàng Quốc Việt,21.04632,105.80233470117014,1,31,đường chính
271,Hoàng Quốc Việt,21.04632,105.80223844867676,1,32,đường chính
272,Hoàng Quốc Việt,21.046318610900425,105.80214221042375,1,33,đường chính
273,Hoàng Quốc Việt,21.04631689242049,105.8020459755474,1,34,đường chính
274,Hoàng Quốc Việt,21.04631517394056,105.80194974067103,1,35,đường chính
275,Hoàng Quốc Việt,21.04631345546062,105.8018535057947,1,36,đường chính
276,Hoàng Quốc Việt,21.046311736980687,105.80175727091832,1,37,đường chính
277,Hoàng Quốc Việt,21.04631001850075,105.80166103604198,1,38,đường chính
278,Hoàng Quốc Việt,21.0463085999348,105.80156479556597,1,39,đường chính
279,Hoàng Quốc Việt,21.04630718463278,105.80146855502902,1,40,đường chính
280,Hoàng Quốc Việt,21.04630576933077,105.80137231449208,1,41,đường chính
281,Hoàng Quốc Việt,21.046304354028752,105.80127607395512,1,42,đường chính
282,Hoàng Quốc Việt,21.04630293872674,105.8011798334182,1,43,đường chính
283,Hoàng Quốc Việt,21.046301523424727,105.80108359288124,1,44,đường chính
284,Hoàng Quốc Việt,21.04630010812271,105.8009873523443,1,45,đường chính
285,Hoàng Quốc Việt,21.04630136749463,105.80089111284916,1,46,đường chính
286,Hoàng Quốc Việt,21.04630284810092,105.8007948734402,1,47,đường chính
287,Hoàng Quốc Việt,21.04630432870721,105.80069863403126,1,48,đường chính
288,Hoàng Quốc Việt,21.046305809313505,105.80060239462232,1,49,đường chính
289,Hoàng Quốc Việt,21.046307289919795,105.80050615521336,1,50,đường chính
290,Hoàng Quốc Việt,21.04630877052609,105.8004099158044,1,51,đường chính
291,Hoàng Quốc Việt,21.04630979336303,105.8003136756792,1,52,đường chính
292,Hoàng Quốc Việt,21.04630857508921,105.80021743204736,1,53,đường chính
293,Hoàng Quốc Việt,21.046307356815387,105.80012118841552,1,54,đường chính
294,Hoàng Quốc Việt,21.046306138541567,105.80002494478369,1,55,đường chính
295,Hoàng Quốc Việt,21.046304920267747,105.79992870115186,1,56,đường chính
296,Hoàng Quốc Việt,21.046303701993928,105.79983245752,1,57,đường chính
297,Hoàng Quốc Việt,21.046302483720105,105.79973621388818,1,58,đường chính
298,Hoàng Quốc Việt,21.046301265446285,105.79963997025634,1,59,đường chính
299,Hoàng Quốc Việt,21.046300047172465,105.7995437266245,1,60,đường chính
300,Hoàng Quốc Việt,21.0463,105.79944747448668,1,61,đường chính
301,Hoàng Quốc Việt,21.0463,105.7993512220062,1,62,đường chính
